City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Rāmpur,IN,79.21,broken clouds,28.8167,79.0333,OYO 38687 Hotel Shivansh
465,Parrita,CR,79.81,overcast clouds,9.5201,-84.3225,Beso del Viento
469,Fayaoué,NC,75.38,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
470,Turkmenabat,TM,75.65,clear sky,39.0733,63.5786,"Гостиница ""Yupek Yoly"" (Шелковый путь)"
474,Katobu,ID,75.07,overcast clouds,-4.9408,122.5276,La Ode Husein
485,Manga,BF,76.28,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
486,Khani,GE,78.37,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
487,Subiaco,IT,77.36,broken clouds,41.9254,13.0941,B&B Al Campo
494,Cabedelo,BR,76.69,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
506,Dawson Creek,CA,79.0,clear sky,55.7666,-120.2362,Peace Villa Motel
524,Nepānagar,IN,75.29,few clouds,21.4667,76.4,Nemade Farm House Siwal
525,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
528,Sokoni,TZ,76.17,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
549,Yenagoa,NG,76.33,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
568,Kozachi Laheri,UA,79.29,clear sky,46.7037,32.9776,Рибацкая база Vitalla
573,Ranong,TH,79.41,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
575,Warstein,DE,78.8,overcast clouds,51.45,8.3667,Romantik Hotel Knippschild
578,Tateyama,JP,75.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
584,Oddur,SO,76.26,overcast clouds,4.1213,43.8894,Banjanay Hotel
588,Fukuechō,JP,79.79,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
592,Maragogi,BR,75.58,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
595,Kirakira,SB,78.67,overcast clouds,-10.4544,161.9205,SanBiz Lodge
596,Dicabisagan,PH,79.38,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
597,Buta,CD,75.7,light rain,2.7858,24.73,Hôtel BOPANDO
605,Phan Thiet,VN,78.57,light rain,10.9333,108.1,Hotel Saigon-PT
606,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
608,Tautira,PF,75.9,light rain,-17.7333,-149.15,Pension Oaoa
612,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
614,Zhangaözen,KZ,76.64,clear sky,43.3,52.8,K.korabay 28A
618,Kandrian,PG,75.24,light rain,-6.2167,149.55,Kandrian Station
624,Issoire,FR,78.06,overcast clouds,45.55,3.25,ACE Hôtel Issoire
634,Guhāgar,IN,77.2,overcast clouds,17.4842,73.1929,Hotel Seawinds
637,Mogadishu,SO,75.51,light rain,2.0371,45.3438,Hotel Juba
638,Kuala Terengganu,MY,78.85,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
641,Matara,LK,77.4,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
642,Kenora,CA,76.66,scattered clouds,49.8167,-94.4337,Maynard Lake Lodge
643,Grants,US,77.23,broken clouds,35.1473,-107.8514,"Motel 6 Grants, NM"
655,Pyu,MM,77.29,moderate rain,18.4833,96.4333,Mr Bo Bo
658,Trincomalee,LK,79.56,overcast clouds,8.5711,81.2335,Welcombe Hotel
659,Tuxpan,MX,79.12,clear sky,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
660,Manta,EC,77.27,scattered clouds,-0.95,-80.7333,Balandra Hotel
665,Fare,PF,75.76,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
667,Bāfq,IR,76.28,clear sky,31.6128,55.4107,Alamdar Hotel
669,Sola,VU,78.6,scattered clouds,-13.8833,167.55,Leumerus Bungalows
671,Chaman,PK,75.56,overcast clouds,30.9236,66.4512,Niamat parda Center chaman
